ID;Kname;Kstrasse;KPlz;Kort;Ktyp;Kgruppe;Kart;Latitude;Longitude
10255663;Daimler Betriebskrankenkasse;MERCEDESSTR. 1;28309;BREMEN;SONSTIGE KUNDEN;Übrige;Outlet;53.0588228;8.9015073
10255623;Kaisers 82525;RAOUL-WALLENBERG-STR. 18;12679;BERLIN;KLEINE VM 800 - 1499 QM;LEH;Outlet;52.5489864;13.5526433
10210825;Rewe Nahkauf Vieweg;HAFFRING 24;17373;UECKERMUENDE;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.7386564;14.0803316
10230000;Rewe Markt (Extra 2670);PASCHBERG;21698;HARSEFELD;GROSSE VM 1500 - 4999 QM;LEH;Outlet;53.4545088;9.5119044
10255560;Rewe Markt (Extra 2660);ALTLAENDER STR. 13-15;21680;STADE;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.6030348;9.4862068
10255561;Rewe Markt (Extra 2697);AM ZENTRUM 6-8;21745;HEMMOOR;GROSSE VM 1500 - 4999 QM;LEH;Outlet;53.6873647;9.1601557
10255559;Rewe Markt (Extra 2700);INDUSTRIESTR. 8;27432;BREMERVOERDE;GROSSE VM 1500 - 4999 QM;LEH;Outlet;53.4933939;9.1178335
10101157;Rewe Regie 705;AM KREBSGRABEN;78048;VILLINGEN-SCHWENNINGEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.0683783;8.4468146
10253129;Comet Volkach;INDUSTRIESTR. 2 A;97332;VOLKACH;L E H  400 - 799 QM (SM);LEH;Outlet;49.8588289;10.2286773
10190915;E Center Bad Kreuznach;BOSENHEIMER STR. 287;55543;BAD KREUZNACH;GROSSE VM 1500 - 4999 QM;LEH;Outlet;49.8505;7.89294
10252414;C&C Schaper  80372;ANNA-VANDENHOECK-RING 23;37081;GOETTINGEN;CASH & CARRY;Cash&Carry;Outlet;51.52271;9.88753
10255661;Verkaufsautomaten R. Malsch e.K.;HOLLAENDISCHE STR. 136;34246;VELLMAR;AUTOMATENBETRIEB;Impuls;Lager / GH;51.37063;9.44963
10190371;Kaisers 42450;AM LANGENBERG 8;52134;HERZOGENRATH;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.83455;6.09194
10255564;Kaisers 80543;MORLAIXPLATZ 12;52146;WUERSELEN;L E H  400 - 799 QM (SM);LEH;Outlet;50.8200024;6.1303754
10254868;Rewe Hetzer oHG;AM HAUPTTOR 14;06237;LEUNA;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.3261187;12.0133087
10252875;Kaufland 1940-O2;SCHILLERSTR. 6;04720;DOEBELN;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.1194405;13.1222218
10255843;Rewe Schaefer oHG;BRAUNSCHWEIGER STRASSE;38723;SEESEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.9046601;10.1918185
10106908;Famila 48;ROSTOCKER STR. 162;17166;TETEROW;SB WARENHAUS;LEH;Outlet;53.7874757;12.5713274
10255621;HAYUNGA's E Friedrichsgabe;QUICKBORNER STR. 52;22844;NORDERSTEDT;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.7347198;9.9889457
10137265;E Aktiv Markt Golly & Schelske;DANZIGER STR. 2;75417;MUEHLACKER;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.9559316;8.8518002
